Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,85,2112.101515,0.003529412,0.014196078,0,0,Nov,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,34.5,0,0.1,0,0,Nov,2,2,3,3,Returning_Visitor,TRUE,FALSE
5,526.85,4,143.25,266,9770.812093,0.007348856,0.024720163,0.245152903,0,Nov,2,4,4,2,Returning_Visitor,TRUE,FALSE
12,209.375,0,0,43,2754.117424,0.0046875,0.033875153,13.68108942,0,Dec,3,2,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,45,1682.25,0.026666667,0.057777778,0,0,Nov,2,2,4,1,Returning_Visitor,FALSE,FALSE
5,64.9,0,0,21,1922.15,0,0.009333333,60.62885042,0,Nov,3,2,1,2,New_Visitor,FALSE,TRUE
0,0,0,0,17,1293.083333,0,0.013333333,0,0,Dec,2,5,7,2,New_Visitor,FALSE,FALSE
0,0,0,0,3,34,0,0.066666667,0,0,Dec,2,2,1,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,5,1,1,Returning_Visitor,FALSE,FALSE
3,238.05,5,1488,104,3275.87381,0.003030303,0.010822511,1.560184165,0,Nov,1,1,3,10,Returning_Visitor,FALSE,TRUE
0,0,0,0,38,935,0,0.007769424,0,0,Nov,2,2,3,11,New_Visitor,FALSE,FALSE
0,0,0,0,14,208.9,0,0.014285714,0,0,Nov,1,8,4,11,Returning_Visitor,TRUE,FALSE
1,79,2,255,137,2668.725046,0.002138405,0.020907736,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
2,55.5,0,0,2,26,0,0.06,0,0,Dec,1,2,9,3,Returning_Visitor,TRUE,TRUE
